# tijd (s), versnelling (m/s^2)
8.753647353063775949e-01,2.643426114559633416e-02
8.803668195081283399e-01,2.692715623974113390e-02
8.853689037098790848e-01,2.742845796745453299e-02
8.903709879116298298e-01,2.793828031849786286e-02
8.953730721133805748e-01,2.845673772143321456e-02
9.003751563151313198e-01,2.898394499841125405e-02
9.053772405168820647e-01,2.952001731792790185e-02
9.103793247186326987e-01,3.006507014551252840e-02
9.153814089203834437e-01,3.061921919230998004e-02
9.203834931221341886e-01,3.118258036152106449e-02
9.253855773238849336e-01,3.175526969266668359e-02
9.303876615256356786e-01,3.233740330364300031e-02
9.353897457273864235e-01,3.292909733053624860e-02
9.403918299291371685e-01,3.353046786516754307e-02
9.453939141308878025e-01,3.414163089034052967e-02
9.503959983326385474e-01,3.476270221276649142e-02
9.553980825343892924e-01,3.539379739364365701e-02
9.604001667361400374e-01,3.603503167687048536e-02
9.654022509378907824e-01,3.668651991487496822e-02
9.704043351396415273e-01,3.734837649204492127e-02
9.754064193413922723e-01,3.802071524574731493e-02
9.804085035431429063e-01,3.870364938492792950e-02
9.854105877448936512e-01,3.939729140628623477e-02
9.904126719466443962e-01,4.010175300802330117e-02
9.954147561483951412e-01,4.081714500116553207e-02
1.000416840350145886e+00,4.154357721846996948e-02
1.005418924551896520e+00,4.228115842092174115e-02
1.010421008753647376e+00,4.302999620183853291e-02
1.015423092955398010e+00,4.379019688860141812e-02
1.020425177157148866e+00,4.456186544203680905e-02
1.025427261358899500e+00,4.534510535347832660e-02
1.030429345560650356e+00,4.614001853954404625e-02
1.035431429762400990e+00,4.694670523466840106e-02
1.040433513964151624e+00,4.776526388143540608e-02
1.045435598165902480e+00,4.859579101876435048e-02
1.050437682367653114e+00,4.943838116800561289e-02
1.055439766569403970e+00,5.029312671701127724e-02
1.060441850771154604e+00,5.116011780224979238e-02
1.065443934972905460e+00,5.203944218904304336e-02
1.070446019174656094e+00,5.293118515000803936e-02
1.075448103376406728e+00,5.383542934179515876e-02
1.080450187578157584e+00,5.475225468021976960e-02
1.085452271779908218e+00,5.568173821389219014e-02
